Время	T1	T2	T3	T4
2019-12-09T22:04:40	-100	-100	-100	-100
2019-12-09T22:04:50	-100	-100	-100	-100
2019-12-09T22:05:00	-100	-100	-100	-100
2019-12-09T22:05:10	-100	-100	-100	-100
2019-12-09T22:05:20	-100	-100	-100	-100
2019-12-09T22:05:30	-100	-100	-100	-100
2019-12-09T22:05:40	-100	-100	-100	-100
2019-12-09T22:05:50	-100	-100	-100	-100
2019-12-09T22:06:00	-100	-100	-100	-100
2019-12-09T22:06:10	-100	-100	-100	-100
2019-12-09T22:06:20	-100	-100	-100	-100
2019-12-09T22:06:30	-100	-100	-100	-100
2019-12-09T22:06:40	-100	-100	-100	-100
2019-12-09T22:06:50	-100	-100	-100	-100
2019-12-09T22:07:00	-100	-100	-100	-100
2019-12-09T22:07:10	-100	-100	-100	-100
2019-12-09T22:07:20	-100	-100	-100	-100
2019-12-09T22:07:30	-100	-100	-100	-100
2019-12-09T22:07:40	-100	-100	-100	-100
2019-12-09T22:07:50	-100	-100	-100	-100
2019-12-09T22:08:00	-100	-100	-100	-100
2019-12-09T22:08:10	-100	-100	-100	-100
2019-12-09T22:08:20	-100	-100	-100	-100
2019-12-09T22:08:30	-100	-100	-100	-100
2019-12-09T22:08:40	-100	-100	-100	-100
2019-12-09T22:08:50	-100	-100	-100	-100
2019-12-09T22:09:00	-100	-100	-100	-100
2019-12-09T22:09:10	-100	-100	-100	-100
2019-12-09T22:09:20	-100	-100	-100	-100
2019-12-09T22:09:30	-100	-100	-100	-100
2019-12-09T22:09:40	-100	-100	-100	-100
2019-12-09T22:09:50	-100	-100	-100	-100
2019-12-09T22:10:00	-100	-100	-100	-100
2019-12-09T22:10:10	-100	-100	-100	-100
2019-12-09T22:10:20	-100	-100	-100	-100
2019-12-09T22:10:30	-100	-100	-100	-100
2019-12-09T22:10:40	-100	-100	-100	-100
2019-12-09T22:10:50	-100	-100	-100	-100
2019-12-09T22:11:00	-100	-100	-100	-100
2019-12-09T22:11:10	-100	-100	-100	-100
2019-12-09T22:11:20	-100	-100	-100	-100
2019-12-09T22:11:30	-100	-100	-100	-100
2019-12-09T22:11:40	-100	-100	-100	-100
2019-12-09T22:11:50	-100	-100	-100	-100
2019-12-09T22:12:00	-100	-100	-100	-100
2019-12-09T22:12:10	-100	-100	-100	-100
2019-12-09T22:12:20	-100	-100	-100	-100
2019-12-09T22:12:30	-100	-100	-100	-100
2019-12-09T22:12:40	-100	-100	-100	-100
2019-12-09T22:12:50	-100	-100	-100	-100
2019-12-09T22:13:00	-100	-100	-100	-100
2019-12-09T22:13:10	-100	-100	-100	-100
2019-12-09T22:13:20	-100	-100	-100	-100
2019-12-09T22:13:30	-100	-100	-100	-100
2019-12-09T22:13:40	-100	-100	-100	-100
2019-12-09T22:13:50	-100	-100	-100	-100
2019-12-09T22:14:00	-100	-100	-100	-100
2019-12-09T22:14:10	-100	-100	-100	-100
2019-12-09T22:14:20	-100	-100	-100	-100
2019-12-09T22:14:30	-100	-100	-100	-100
2019-12-09T22:14:40	-100	-100	-100	-100
2019-12-09T22:14:50	-100	-100	-100	-100
2019-12-09T22:15:00	-100	-100	-100	-100
2019-12-09T22:15:10	-100	-100	-100	-100
2019-12-09T22:15:20	-100	-100	-100	-100
2019-12-09T22:15:30	-100	-100	-100	-100
2019-12-09T22:15:40	-100	-100	-100	-100
2019-12-09T22:15:50	-100	-100	-100	-100
2019-12-09T22:16:00	-100	-100	-100	-100
2019-12-09T22:16:10	-100	-100	-100	-100
