time	T1	T2	T3	T4
2020-11-29T17:54:13	-100	-100	-100	-100
2020-11-29T17:54:23	-100	-100	-100	-100
2020-11-29T17:54:33	-100	-100	-100	-100
2020-11-29T17:54:43	-100	-100	-100	-100
2020-11-29T17:54:53	-100	-100	-100	-100
2020-11-29T17:55:03	-100	-100	-100	-100
2020-11-29T17:55:13	-100	-100	-100	-100
2020-11-29T17:55:23	-100	-100	-100	-100
2020-11-29T17:55:33	-100	-100	-100	-100
2020-11-29T17:55:43	-100	-100	-100	-100
2020-11-29T17:55:53	-100	-100	-100	-100
2020-11-29T17:56:03	-100	-100	-100	-100
2020-11-29T17:56:13	-100	-100	-100	-100
2020-11-29T17:56:23	-100	-100	-100	-100
2020-11-29T17:56:33	-100	-100	-100	-100
2020-11-29T17:56:43	-100	-100	-100	-100
2020-11-29T17:56:53	-100	-100	-100	-100
2020-11-29T17:57:03	-100	-100	-100	-100
2020-11-29T17:57:13	-100	-100	-100	-100
2020-11-29T17:57:23	-100	-100	-100	-100
2020-11-29T17:57:33	-100	-100	-100	-100
2020-11-29T17:57:43	-100	-100	-100	-100
2020-11-29T17:57:53	-100	-100	-100	-100
2020-11-29T17:58:03	-100	-100	-100	-100
2020-11-29T17:58:13	-100	-100	-100	-100
2020-11-29T17:58:23	-100	-100	-100	-100
2020-11-29T17:58:33	-100	-100	-100	-100
2020-11-29T17:58:43	-100	-100	-100	-100
2020-11-29T17:58:53	-100	-100	-100	-100
2020-11-29T17:59:03	-100	-100	-100	-100
2020-11-29T17:59:13	-100	-100	-100	-100
2020-11-29T17:59:23	-100	-100	-100	-100
2020-11-29T17:59:33	-100	-100	-100	-100
2020-11-29T17:59:43	-100	-100	-100	-100
2020-11-29T17:59:53	-100	-100	-100	-100
2020-11-29T18:00:03	-100	-100	-100	-100
2020-11-29T18:00:13	-100	-100	-100	-100
2020-11-29T18:00:23	-100	-100	-100	-100
2020-11-29T18:00:33	-100	-100	-100	-100
2020-11-29T18:00:43	-100	-100	-100	-100
2020-11-29T18:00:53	-100	-100	-100	-100
2020-11-29T18:01:03	-100	-100	-100	-100
2020-11-29T18:01:13	-100	-100	-100	-100
2020-11-29T18:01:23	-100	-100	-100	-100
2020-11-29T18:01:33	-100	-100	-100	-100
2020-11-29T18:01:43	-100	-100	-100	-100
